detailed_work_activity,impact,intermediate_work_activity,element
Administer medical substances for imaging or other procedures.,0.0,Administer basic health care or medical treatments.,Assisting and Caring for Others
Administer non-intravenous medications.,-0.01920189800814409,Administer basic health care or medical treatments.,Assisting and Caring for Others
Administer oaths to court participants.,-0.05129130648093794,Perform court-related or other legal administrative activities.,Performing Administrative Activities
Administer personnel recruitment or hiring activities.,-0.4030892926350309,Perform recruiting or hiring activities.,Staffing Organizational Units
Administer screening tests to determine abilities or treatment needs.,-0.004426083957298488,Administer diagnostic tests to assess patient health.,"Inspecting Equipment, Structures, or Material"
Administer standardized physical or psychological tests.,0.05040875959833713,Perform human resources activities.,Staffing Organizational Units
Administer tests to assess educational needs or progress.,-0.22311720476441677,"Assess student capabilities, needs, or performance.","Judging the Qualities of Things, Services, or People"
Administer therapeutic massages.,-0.010104462367723777,Administer therapeutic treatments.,Assisting and Caring for Others
Administer therapy treatments to patients using hands or physical treatment aids.,0.7217877618870352,Administer therapeutic treatments.,Assisting and Caring for Others
"Advise athletes, coaches, or trainers on exercise regimens, nutrition, or equipment use.",-0.006313850316142844,Advise others on healthcare or wellness issues.,Provide Consultation and Advice to Others
Advise clients or community groups on health issues.,-0.5302635609412789,Advise others on healthcare or wellness issues.,Provide Consultation and Advice to Others
Advise communities or institutions regarding health or safety issues.,-0.12237796652556154,Advise others on healthcare or wellness issues.,Provide Consultation and Advice to Others
Advise customers on technical or procedural issues.,-0.024021937013610106,Advise others on products or services.,Provide Consultation and Advice to Others
Advise customers on the use of products or services.,-0.7350570459043269,Advise others on products or services.,Provide Consultation and Advice to Others
"Advise educators on curricula, instructional methods, or policies.",-0.9714943008272638,Advise others on educational or vocational matters.,Provide Consultation and Advice to Others
Advise medical personnel regarding healthcare issues.,0.1556047709873818,Advise others on healthcare or wellness issues.,Provide Consultation and Advice to Others
Advise others about environmental management or conservation.,0.3810671879489682,Advise others on environmental sustainability or green practices.,Provide Consultation and Advice to Others
Advise others about land management or conservation.,0.15267853599981063,Advise others on environmental sustainability or green practices.,Provide Consultation and Advice to Others
Advise others on analytical techniques.,-0.04100543838557957,Advise others on business or operational matters.,Provide Consultation and Advice to Others
Advise others on business or operational matters.,-0.28056344980391223,Advise others on business or operational matters.,Provide Consultation and Advice to Others
Advise others on career or personal development.,-0.07257371908243782,Advise others on educational or vocational matters.,Provide Consultation and Advice to Others
Advise others on educational matters.,0.002508355174721366,Advise others on educational or vocational matters.,Provide Consultation and Advice to Others
"Advise others on farming or forestry operations, regulations, or equipment.",-0.11922921392908759,Advise others on business or operational matters.,Provide Consultation and Advice to Others
Advise others on financial matters.,0.3757586166833864,Advise others on financial matters.,Provide Consultation and Advice to Others
Advise others on green energy or related technologies.,0.0,Advise others on environmental sustainability or green practices.,Provide Consultation and Advice to Others
Advise others on health and safety issues.,-0.20617991620134557,Advise others on workplace health or safety issues.,Provide Consultation and Advice to Others
Advise others on healthcare matters.,0.020129252991750946,Advise others on healthcare or wellness issues.,Provide Consultation and Advice to Others
Advise others on human resources topics.,-0.5895770344528777,Advise others on business or operational matters.,Provide Consultation and Advice to Others
"Advise others on issues related to repairs, installation, or equipment design.",0.04511012530277636,Advise others on business or operational matters.,Provide Consultation and Advice to Others
Advise others on legal or regulatory compliance matters.,1.5645124218821516,Advise others on legal or regulatory matters.,Provide Consultation and Advice to Others
Advise others on logistics topics.,0.005022602945788712,Advise others on business or operational matters.,Provide Consultation and Advice to Others
Advise others on management of emergencies or hazardous situations or materials.,0.02292306083646256,Advise others on workplace health or safety issues.,Provide Consultation and Advice to Others
Advise others on matters of public policy.,-0.07626095735064098,Advise others on legal or regulatory matters.,Provide Consultation and Advice to Others
Advise others on social or educational issues.,0.06787543478537339,Advise others on educational or vocational matters.,Provide Consultation and Advice to Others
Advise others on the development or use of new technologies.,-0.00255954163823624,Advise others on the design or use of technologies.,Provide Consultation and Advice to Others
Advise others on ways to improve processes or products.,0.1614444283703449,Advise others on business or operational matters.,Provide Consultation and Advice to Others
Advise others regarding green practices or environmental concerns.,-0.02956367366270074,Advise others on environmental sustainability or green practices.,Provide Consultation and Advice to Others
Advise patients on effects of health conditions or treatments.,-0.010313220025238046,Advise patients or clients on medical issues.,Provide Consultation and Advice to Others
Advise patients on healthcare system processes.,-0.03647169434256092,Advise patients or clients on medical issues.,Provide Consultation and Advice to Others
Advise patients on preventive care techniques.,0.06817406719259722,Advise patients or clients on medical issues.,Provide Consultation and Advice to Others
Advise real estate clients.,-0.04709425453219618,Advise others on financial matters.,Provide Consultation and Advice to Others
Advise students on academic or career matters.,0.2833221310326093,Advise others on educational or vocational matters.,Provide Consultation and Advice to Others
Advocate for individual or community needs.,0.014125330248553336,Advocate for individual or community needs.,Selling or Influencing Others
Align equipment or machinery.,0.3847860724848169,Position materials or components for assembly.,Handling and Moving Objects
Align masonry materials.,0.04069077790835163,Position materials or components for assembly.,Handling and Moving Objects
Align parts or workpieces to ensure proper assembly.,1.2503000767564028,Position materials or components for assembly.,Handling and Moving Objects
Allocate physical resources within organizations.,0.0,"Distribute materials, supplies, or resources.",Monitoring and Controlling Resources
Analyze biological samples.,0.0184615168276423,Analyze biological or chemical substances or related data.,Analyzing Data or Information
Analyze budgetary or accounting data.,-0.0026033198887218667,Analyze business or financial data.,Analyzing Data or Information
Analyze business or financial data.,-0.531098909912592,Analyze business or financial data.,Analyzing Data or Information
Analyze chemical compounds or substances.,0.3001830088222581,Analyze biological or chemical substances or related data.,Analyzing Data or Information
Analyze consumer trends.,-0.3891018820218797,Analyze market or industry conditions.,Analyzing Data or Information
Analyze costs and benefits of proposed designs or projects.,-0.14336187935228928,"Evaluate designs, specifications, or other technical data.",Analyzing Data or Information
Analyze crime scene evidence.,-0.02149719409220907,Analyze biological or chemical substances or related data.,Analyzing Data or Information
Analyze data to assess operational or project effectiveness.,-0.0847992869879497,Analyze data to improve operations.,Analyzing Data or Information
Analyze data to determine project feasibility.,0.1340250271368557,Evaluate project feasibility.,"Judging the Qualities of Things, Services, or People"
Analyze data to identify or resolve operational problems.,-0.26816891827124145,Analyze data to improve operations.,Analyzing Data or Information
Analyze data to identify trends or relationships among variables.,0.24337119780809857,Analyze scientific or applied data using mathematical principles.,Analyzing Data or Information
Analyze data to inform operational decisions or activities.,0.107696484456139,Analyze data to improve operations.,Analyzing Data or Information
Analyze data to inform personnel decisions.,-0.0018567463655347893,Analyze data to improve operations.,Analyzing Data or Information
Analyze design or requirements information for mechanical equipment or systems.,-0.3940831298721368,"Evaluate designs, specifications, or other technical data.",Analyzing Data or Information
Analyze design requirements for computer or electronics systems.,-0.12861945559965893,"Evaluate designs, specifications, or other technical data.",Analyzing Data or Information
Analyze energy usage data.,-0.19517328899933428,Analyze data to improve operations.,Analyzing Data or Information
Analyze environmental data.,0.012534729412584156,Analyze environmental or geospatial data.,Analyzing Data or Information
Analyze environmental regulations to ensure organizational compliance.,0.0,Assess characteristics or impacts of regulations or policies.,Analyzing Data or Information
Analyze financial information.,-0.10648557398413949,Analyze business or financial data.,Analyzing Data or Information
Analyze financial records or reports to determine state of operations.,-0.14364127076623268,Analyze business or financial data.,Analyzing Data or Information
Analyze financial records to improve budgeting or planning.,0.03760041722459295,Analyze business or financial data.,Analyzing Data or Information
Analyze financial records to improve efficiency.,0.21240747433329643,Analyze business or financial data.,Analyzing Data or Information
Analyze forecasting data to improve business decisions.,-0.24636070777964791,Analyze data to improve operations.,Analyzing Data or Information
Analyze forensic evidence to solve crimes.,0.14479486653406726,Analyze biological or chemical substances or related data.,Analyzing Data or Information
Analyze geological or geographical data.,0.0907631352277245,Analyze environmental or geospatial data.,Analyzing Data or Information
Analyze geological samples.,-0.10634388262454442,Analyze environmental or geospatial data.,Analyzing Data or Information
Analyze green technology design requirements.,0.0,"Evaluate designs, specifications, or other technical data.",Analyzing Data or Information
Analyze health-related data.,0.10624359132852046,Analyze health or medical data.,Analyzing Data or Information
Analyze impact of legal or regulatory changes.,0.08020783553057598,Assess characteristics or impacts of regulations or policies.,Analyzing Data or Information
Analyze industry trends.,-0.17675969205606723,Analyze market or industry conditions.,Analyzing Data or Information
Analyze information obtained from news sources.,0.012100689746158633,"Develop news, entertainment, or artistic content.",Thinking Creatively
"Analyze jobs using observation, survey, or interview techniques.",-0.15209352026921863,Analyze data to improve operations.,Analyzing Data or Information
Analyze laboratory findings.,0.04479177675254764,Analyze biological or chemical substances or related data.,Analyzing Data or Information
Analyze laboratory specimens to detect abnormalities or other problems.,0.06170630435598934,Analyze biological or chemical substances or related data.,Analyzing Data or Information
Analyze logistics processes.,-0.036977602937842136,Analyze data to improve operations.,Analyzing Data or Information
Analyze market conditions or trends.,-1.8593463999119182,Analyze market or industry conditions.,Analyzing Data or Information
Analyze market or customer related data.,0.1552057136816618,Analyze market or industry conditions.,Analyzing Data or Information
Analyze market research data.,0.06312375371058287,Analyze market or industry conditions.,Analyzing Data or Information
Analyze medical data to determine cause of death.,-0.10471140423988601,Analyze health or medical data.,Analyzing Data or Information
"Analyze operational data to evaluate operations, processes or products.",-0.067440360287911,Analyze data to improve operations.,Analyzing Data or Information
Analyze operational or research data.,0.085171660909237,Analyze data to improve operations.,Analyzing Data or Information
Analyze patient data to determine patient needs or treatment goals.,-0.11010335405196692,Analyze health or medical data.,Analyzing Data or Information
"Analyze physical, survey, or geographic data.",0.17968881728062458,Analyze environmental or geospatial data.,Analyzing Data or Information
Analyze project data to determine specifications or requirements.,-0.056052088970116376,"Evaluate designs, specifications, or other technical data.",Analyzing Data or Information
Analyze quantitative data to determine effectiveness of treatments or therapies.,-0.027254451195941165,Analyze health or medical data.,Analyzing Data or Information
Analyze risks related to investments in green technology.,-0.05130786020138567,Analyze business or financial risks.,Analyzing Data or Information
Analyze risks to minimize losses or damages.,-0.19821368511144577,Analyze business or financial risks.,Analyzing Data or Information
"Analyze security of systems, network, or data.",-0.07160464161946312,Analyze performance of systems or equipment.,Analyzing Data or Information
Analyze shipping information to make routing decisions.,-0.326037546153338,Analyze data to improve operations.,Analyzing Data or Information
Analyze test data or images to inform diagnosis or treatment.,-0.21881902805879738,Analyze health or medical data.,Analyzing Data or Information
Analyze test or performance data to assess equipment operation.,-0.03597190522758087,Analyze performance of systems or equipment.,Analyzing Data or Information
Analyze test or validation data.,-0.13237532007475217,Analyze performance of systems or equipment.,Analyzing Data or Information
Analyze test results.,0.2994059929126669,Test characteristics of materials or products.,"Inspecting Equipment, Structures, or Material"
Analyze traffic data.,0.0,Analyze data to improve operations.,Analyzing Data or Information
Analyze website or related online data to track trends or usage.,-0.12170246254257933,Analyze market or industry conditions.,Analyzing Data or Information
Answer customer questions about goods or services.,-0.13518364520858928,Respond to customer problems or inquiries.,Performing for or Working Directly with the Public
Answer telephones to direct calls or provide information.,-0.1702048170663395,"Provide information to guests, clients, or customers.",Communicating with Persons Outside Organization
Apply adhesives to construction materials.,-0.0648640641078786,Perform general construction or extraction activities.,Performing General Physical Activities
"Apply bandages, dressings, or splints.",-0.0032024281135822896,Administer basic health care or medical treatments.,Assisting and Caring for Others
Apply chemical solutions to plants to protect against disease or insects or to enhance growth.,-0.12953020873228782,Apply protective solutions or coatings.,Handling and Moving Objects
"Apply cleansing or conditioning agents to client hair, scalp, or skin.",0.21917215214913455,Apply hygienic or cosmetic agents to skin or hair.,Handling and Moving Objects
Apply decorative coloring to photographs or printed materials.,0.003243974366074376,Apply decorative finishes.,Handling and Moving Objects
Apply decorative masonry finishes.,-0.09593277320452609,Apply decorative finishes.,Handling and Moving Objects
Apply decorative or textured finishes or coverings.,0.5305691908597829,Apply decorative finishes.,Handling and Moving Objects
"Apply finishes to artwork, crafts, or displays.",-0.32423536577600665,Apply decorative finishes.,Handling and Moving Objects
Apply identification labels or tags.,0.0,Mark materials or objects for identification.,"Identifying Objects, Actions, and Events"
Apply information technology to solve business or other applied problems.,0.16155245513025474,Design computer or information systems or applications.,Thinking Creatively
Apply knowledge or research findings to address environmental problems.,0.03134101697482272,Develop systems or practices to mitigate or resolve environmental problems.,Thinking Creatively
Apply lubricants or coolants to workpieces.,0.4322717938548273,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
Apply makeup to alter or enhance appearance.,-0.23147709673434047,Apply hygienic or cosmetic agents to skin or hair.,Handling and Moving Objects
Apply material to fill gaps in surfaces.,-0.3391596918831139,Apply materials to fill gaps or imperfections.,Handling and Moving Objects
Apply mathematical models of financial or business conditions.,-0.06294793893524897,Analyze business or financial data.,Analyzing Data or Information
Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields.,0.02779269924234029,Analyze scientific or applied data using mathematical principles.,Analyzing Data or Information
Apply mortar.,0.025176282979383124,Apply materials to fill gaps or imperfections.,Handling and Moving Objects
Apply multiple teaching methods.,0.20158894781293357,Teach academic or vocational subjects.,Training and Teaching Others
Apply new technologies to improve work processes.,0.056533384576269885,Implement procedures or processes.,Making Decisions and Solving Problems
Apply paint to surfaces.,-0.02068005562052555,Apply protective solutions or coatings.,Handling and Moving Objects
Apply parting agents or other solutions to molds.,-0.4198514551511501,Remove workpieces from production equipment.,Handling and Moving Objects
Apply protective coverings to objects or surfaces near work areas.,0.005682178482490308,Set up protective structures or coverings near work areas.,Performing General Physical Activities
Apply protective or decorative finishes to workpieces or products.,0.43512749088242986,Apply protective solutions or coatings.,Handling and Moving Objects
Apply sealants or other protective coatings.,-0.0011404890810773338,Apply protective solutions or coatings.,Handling and Moving Objects
Apply solutions to hair for therapeutic or cosmetic purposes.,0.09888934675227112,Apply hygienic or cosmetic agents to skin or hair.,Handling and Moving Objects
Apply solutions to production equipment.,-0.43458586222017015,Apply protective solutions or coatings.,Handling and Moving Objects
Apply water or solutions to fabrics or apparel.,0.5307897324424773,"Clean workpieces, finished products, or other objects.",Performing General Physical Activities
Appraise environmental impact of regulations or policies.,0.026181816133278968,Assess characteristics or impacts of regulations or policies.,Analyzing Data or Information
Appraise property values.,0.04309356483838078,"Evaluate condition of financial assets, property, or other resources.","Judging the Qualities of Things, Services, or People"
Apprehend criminal suspects.,0.07138797589196866,Maintain safety or security.,Performing General Physical Activities
Approve expenditures.,-0.13466870796403585,Authorize business activities or transactions.,Making Decisions and Solving Problems
Arbitrate disputes between parties to resolve legal conflicts.,0.3391806464369642,Mediate disputes.,Resolving Conflicts and Negotiating with Others
"Arrange artwork, products, or props.",0.09505266558016467,Arrange displays or decorations.,Handling and Moving Objects
Arrange childcare or educational settings to ensure physical safety of children.,-0.023365494026205802,"Set up classrooms, facilities, educational materials, or equipment.",Handling and Moving Objects
Arrange collective bargaining agreements.,0.20351278446278664,Negotiate contracts or agreements.,Resolving Conflicts and Negotiating with Others
Arrange delivery of goods or services.,-0.09853957689582593,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Arrange facility schedules.,0.01908785156416215,Prepare schedules for services or facilities.,Scheduling Work and Activities
Arrange food for serving.,0.047816876484569004,Prepare foods or beverages.,Handling and Moving Objects
Arrange insurance coverage.,0.014502269932017864,Execute financial transactions.,Performing Administrative Activities
Arrange items for use or display.,0.12875483356541917,Arrange displays or decorations.,Handling and Moving Objects
Arrange maintenance activities.,0.13351944261022863,Schedule operational activities.,Scheduling Work and Activities
Arrange physical or mental health services for clients.,0.03451381877355475,Assist others to access additional services or resources.,Assisting and Caring for Others
Arrange services or reservations for patrons.,-0.23538345924490356,"Provide general assistance to others, such as customers, patrons, or motorists.",Assisting and Caring for Others
Arrange tables or dining areas.,-0.00754551941854098,Provide food or beverage services.,Performing General Physical Activities
"Assemble electrical components, subsystems, or systems.",-0.02447642431124475,Assemble equipment or components.,Handling and Moving Objects
Assemble electrical or electronic equipment.,-0.045519001720948804,Assemble equipment or components.,Handling and Moving Objects
Assemble electromechanical or hydraulic systems.,-0.5773042717315522,Assemble equipment or components.,Handling and Moving Objects
Assemble equipment or components.,0.00539163286070643,Assemble equipment or components.,Handling and Moving Objects
Assemble garments or textile products.,0.7086085421727679,Assemble products or work aids.,Handling and Moving Objects
"Assemble machine tools, parts, or fixtures.",-1.345172213744354,Assemble equipment or components.,Handling and Moving Objects
Assemble mechanical components or machine parts.,-0.10889419295842506,Assemble equipment or components.,Handling and Moving Objects
Assemble metal or plastic parts or products.,-0.11314945610279015,Assemble products or work aids.,Handling and Moving Objects
Assemble metal structures.,-0.07605300637972423,Build structures.,Handling and Moving Objects
Assemble precision electronics or optical equipment.,-0.03937500431501295,Assemble equipment or components.,Handling and Moving Objects
Assemble products or production equipment.,0.0738827425484101,Assemble equipment or components.,Handling and Moving Objects
Assemble structural components.,-0.1476350379057796,Build structures.,Handling and Moving Objects
Assemble temporary equipment or structures.,0.08975100548835391,Build structures.,Handling and Moving Objects
Assemble tires.,0.0,Assemble products or work aids.,Handling and Moving Objects
Assemble wood products.,0.36269019547615633,Assemble products or work aids.,Handling and Moving Objects
Assess characteristics of fires.,0.011215351359832315,Monitor environmental conditions.,"Monitor Processes, Materials, or Surroundings"
Assess compliance with environmental laws.,0.21257871179237187,Assess compliance with environmental standards or regulations.,Evaluating Information to Determine Compliance with Standards
Assess database performance.,-0.04749892486765628,"Evaluate the characteristics, usefulness, or performance of products or technologies.","Judging the Qualities of Things, Services, or People"
Assess educational needs of students.,-0.013810864998090366,"Assess student capabilities, needs, or performance.","Judging the Qualities of Things, Services, or People"
Assess equipment functioning.,-0.015301432046999519,Monitor equipment operation.,"Monitor Processes, Materials, or Surroundings"
Assess financial status of clients.,0.21219833488693451,"Evaluate condition of financial assets, property, or other resources.","Judging the Qualities of Things, Services, or People"
Assess individual or community needs for educational or social services.,0.019442814356617433,"Assess living, work, or social needs or status of individuals or communities.","Judging the Qualities of Things, Services, or People"
Assess locations for potential green technology installations.,0.0,Assess characteristics of land or property.,"Estimating the Quantifiable Characteristics of Products, Events, or Information"
"Assess patient work, living, or social environments.",-0.005661082916065041,"Assess living, work, or social needs or status of individuals or communities.","Judging the Qualities of Things, Services, or People"
Assess physical conditions of patients to aid in diagnosis or treatment.,0.2007221215728201,Evaluate patient or client condition or treatment options.,"Judging the Qualities of Things, Services, or People"
Assess product or process usefulness.,-0.07372203168331382,"Evaluate the characteristics, usefulness, or performance of products or technologies.","Judging the Qualities of Things, Services, or People"
Assess risks to business operations.,-0.20365910966311507,Analyze business or financial risks.,Analyzing Data or Information
Assess skin or hair conditions.,-0.03322568923069946,Evaluate patient or client condition or treatment options.,"Judging the Qualities of Things, Services, or People"
"Assess the cost effectiveness of products, projects, or services.",0.050775541089597365,"Evaluate the characteristics, usefulness, or performance of products or technologies.","Judging the Qualities of Things, Services, or People"
Assign class work to students.,-0.08557555860312904,Assign work to others.,"Guiding, Directing, and Motivating Subordinates"
Assign duties or work schedules to employees.,0.8562142656796081,Assign work to others.,"Guiding, Directing, and Motivating Subordinates"
Assign resources or facilities to patrons or employees.,0.23838929203622028,"Distribute materials, supplies, or resources.",Monitoring and Controlling Resources
Assist chefs or caterers with food or drink preparation.,-0.0029069505712033816,Prepare foods or beverages.,Handling and Moving Objects
Assist clients in handling details of daily life.,0.31592921290526643,Assist individuals with special needs.,Assisting and Caring for Others
Assist customers to ensure comfort or safety.,-0.07944999779402329,"Provide general assistance to others, such as customers, patrons, or motorists.",Assisting and Caring for Others
Assist customers with seating arrangements.,-0.0006423397116317453,"Provide general assistance to others, such as customers, patrons, or motorists.",Assisting and Caring for Others
Assist disabled or incapacitated individuals.,0.010077594298532055,Assist individuals with special needs.,Assisting and Caring for Others
Assist engineers or scientists with research.,0.005007708677651657,"Assist scientists, scholars, or technical specialists with projects or research.","Communicating with Supervisors, Peers, or Subordinates"
Assist healthcare practitioners during examinations or treatments.,-0.07111977315411,Assist healthcare practitioners during medical procedures.,Assisting and Caring for Others
Assist healthcare practitioners during surgery.,0.0010040587622635044,Assist healthcare practitioners during medical procedures.,Assisting and Caring for Others
Assist individuals with paperwork.,0.33003681491799686,Assist individuals with paperwork.,Assisting and Caring for Others
Assist individuals with special needs.,0.0029621792597778196,Assist individuals with special needs.,Assisting and Caring for Others
Assist motorists or pedestrians.,0.1128014617399673,"Provide general assistance to others, such as customers, patrons, or motorists.",Assisting and Caring for Others
Assist other educational professionals with projects or research.,-0.016115564833889096,"Assist scientists, scholars, or technical specialists with projects or research.","Communicating with Supervisors, Peers, or Subordinates"
Assist others during emergencies.,-0.01668018017797035,Intervene in crisis situations or emergencies.,Assisting and Caring for Others
Assist passengers during vehicle boarding.,0.24428512040748318,"Provide general assistance to others, such as customers, patrons, or motorists.",Assisting and Caring for Others
Assist patients with daily activities.,-0.014704662303112848,Assist individuals with special needs.,Assisting and Caring for Others
Assist patients with hygiene or daily living activities.,0.016312304466450822,Assist individuals with special needs.,Assisting and Caring for Others
Assist patrons with entering or exiting vehicles or other forms of transportation.,0.18449799854804771,"Provide general assistance to others, such as customers, patrons, or motorists.",Assisting and Caring for Others
Assist practitioners to perform medical procedures.,-0.05746796636818141,Assist healthcare practitioners during medical procedures.,Assisting and Caring for Others
Assist skilled construction or extraction personnel.,-0.2578083476624071,Perform general construction or extraction activities.,Performing General Physical Activities
Assist students with special educational needs.,0.16796092717579025,Assist individuals with special needs.,Assisting and Caring for Others
Attach decorative or functional accessories to products.,-0.29664297634680414,Create decorative objects or parts of objects.,Handling and Moving Objects
Attach equipment extensions or accessories.,-0.25684293530505453,Set up equipment.,Handling and Moving Objects
"Attach identification information to products, items or containers.",0.0834166929988771,Mark materials or objects for identification.,"Identifying Objects, Actions, and Events"
Attach rigging to objects so they can be moved.,-0.5703378112411417,Set up equipment.,Handling and Moving Objects
Attend conferences or workshops to maintain professional knowledge.,0.0,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
Attend educational events to update medical knowledge.,0.01232204176151841,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
Attend events to develop professional knowledge.,0.11903616995563171,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
Attend training sessions or professional meetings to develop or maintain professional knowledge.,0.26887431466896894,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
Attend training to learn new skills or update knowledge.,-0.018831305682817323,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
Audition for roles.,-0.11924743894890755,Present arts or entertainment performances.,Performing for or Working Directly with the Public
Audition or interview potential performers or staff members.,-0.027260361884576145,Perform recruiting or hiring activities.,Staffing Organizational Units
Authorize construction activities.,-0.064649204558763,Authorize business activities or transactions.,Making Decisions and Solving Problems
Authorize financial actions.,0.09610913453052072,Authorize business activities or transactions.,Making Decisions and Solving Problems
Authorize payments to settle legal disputes.,0.051560076855514225,Authorize business activities or transactions.,Making Decisions and Solving Problems
Balance receipts.,-0.004932964153010033,Reconcile financial data.,Processing Information
Block physical access to restricted areas.,-0.15421326853994932,Maintain safety or security.,Performing General Physical Activities
Bolt objects into place.,-0.07792258153875053,Assemble equipment or components.,Handling and Moving Objects
Braze metal parts or components.,-0.03380770051601978,"Join parts using soldering, welding, or brazing techniques.",Handling and Moving Objects
"Break up rock, asphalt, or concrete.",-0.10396347813429196,Operate construction or excavation equipment.,Controlling Machines and Processes
Build agricultural structures.,0.15851516050720393,Build structures.,Handling and Moving Objects
Build construction forms or molds.,0.033136355561658615,Assemble products or work aids.,Handling and Moving Objects
"Build models, patterns, or templates.",0.5790912736401603,Assemble products or work aids.,Handling and Moving Objects
Build production molds.,-0.528974351582399,Assemble products or work aids.,Handling and Moving Objects
Calculate costs of goods or services.,-0.0598950037833168,Determine values or prices of goods or services.,Making Decisions and Solving Problems
Calculate data to inform organizational operations.,0.07285187358533163,Analyze data to improve operations.,Analyzing Data or Information
"Calculate dimensions of workpieces, products, or equipment.",-0.43682056458928686,"Measure physical characteristics of materials, products, or equipment.","Estimating the Quantifiable Characteristics of Products, Events, or Information"
Calculate financial data.,-0.21455312425223116,Calculate financial data.,"Estimating the Quantifiable Characteristics of Products, Events, or Information"
Calculate geographic positions from survey data.,0.038818029093296236,Assess characteristics of land or property.,"Estimating the Quantifiable Characteristics of Products, Events, or Information"
Calculate numerical data for medical activities.,-0.018186164060578935,Analyze health or medical data.,Analyzing Data or Information
Calculate requirements for equipment installation or repair projects.,-0.02210981160678127,Determine resource needs of projects or operations.,Making Decisions and Solving Problems
Calculate shipping costs.,0.02398945236983563,Determine values or prices of goods or services.,Making Decisions and Solving Problems
"Calculate specific material, equipment, or labor requirements for production.",-0.33403176406915636,Determine resource needs of projects or operations.,Making Decisions and Solving Problems
Calculate tax information.,0.0,Calculate financial data.,"Estimating the Quantifiable Characteristics of Products, Events, or Information"
