region,NUTS,region_name,risk_category,2014,2015,2016,2017,2018,average,percentage,LQ
G0,FRG0,Pays de la Loire,High risk,257.692,277.387,250.957,258.577,265.26,261.975,0.171,1.024
G0,FRG0,Pays de la Loire,Low risk,238.784,215.639,263.233,223.153,217.606,231.683,0.151,1.094
G0,FRG0,Pays de la Loire,Other,1039.74,1020.913,1032.936,1070.191,1039.698,1040.696,0.678,0.975
H0,FRH0,Brittany,High risk,186.52,215.09,186.312,211.117,225.511,204.91,0.156,0.935
H0,FRH0,Brittany,Low risk,240.858,213.68,202.857,237.046,195.263,217.941,0.166,1.201
H0,FRH0,Brittany,Other,880.614,912.926,891.134,871.176,905.53,892.276,0.678,0.976
I1,FRI1,Aquitaine,High risk,239.764,235.15,254.026,200.98,231.573,232.299,0.172,1.035
I1,FRI1,Aquitaine,Low risk,171.928,220.726,195.401,220.527,214.215,204.559,0.152,1.101
I1,FRI1,Aquitaine,Other,942.256,871.224,927.135,898.37,910.071,909.811,0.676,0.972
I2,FRI2,Limousin,High risk,53.455,43.106,44.612,41.547,42.918,45.128,0.155,0.929
I2,FRI2,Limousin,Low risk,53.701,51.495,48.593,61.94,54.024,53.951,0.185,1.342
I2,FRI2,Limousin,Other,177.689,203.757,208.139,194.507,176.857,192.19,0.66,0.949
I3,FRI3,Poitou-Charentes,High risk,137.033,128.39,120.81,136.408,123.315,129.191,0.185,1.107
I3,FRI3,Poitou-Charentes,Low risk,127.693,102.59,109.68,117.757,112.579,114.06,0.163,1.181
I3,FRI3,Poitou-Charentes,Other,426.16,476.171,446.86,464.74,469.076,456.601,0.652,0.938
J1,FRJ1,Languedoc-Roussillon,High risk,202.52,139.76,158.704,180.092,164.487,169.113,0.169,1.013
J1,FRJ1,Languedoc-Roussillon,Low risk,124.122,170.464,173.432,112.046,154.037,146.82,0.147,1.063
J1,FRJ1,Languedoc-Roussillon,Other,698.162,644.547,690.901,718.15,673.929,685.138,0.684,0.984
J2,FRJ2,Midi-Pyrénées,High risk,169.765,204.031,199.787,199.277,211.46,196.864,0.159,0.952
J2,FRJ2,Midi-Pyrénées,Low risk,195.159,186.406,169.273,165.995,145.829,172.532,0.139,1.008
J2,FRJ2,Midi-Pyrénées,Other,821.145,854.647,853.676,902.522,921.769,870.752,0.702,1.01
K1,FRK1,Auvergne,High risk,85.322,91.701,77.773,55.376,77.084,77.451,0.147,0.883
K1,FRK1,Auvergne,Low risk,117.91,94.229,83.065,87.587,96.747,95.908,0.182,1.321
K1,FRK1,Auvergne,Other,300.84,380.124,362.943,364.369,356.331,352.921,0.671,0.964
K2,FRK2,Rhône-Alpes,High risk,421.457,459.872,452.754,449.832,449.523,446.688,0.163,0.976
K2,FRK2,Rhône-Alpes,Low risk,338.178,383.844,337.68,363.058,387.836,362.119,0.132,0.956
K2,FRK2,Rhône-Alpes,Other,1864.43,1871.287,1981.048,1986.984,1985.461,1937.842,0.706,1.015
L0,FRL0,Provence-Alpes-Côte d’Azur,High risk,383.513,323.669,325.435,358.667,339.496,346.156,0.179,1.074
L0,FRL0,Provence-Alpes-Côte d’Azur,Low risk,241.994,299.878,289.976,262.187,267.021,272.211,0.141,1.02
L0,FRL0,Provence-Alpes-Côte d’Azur,Other,1305.807,1255.646,1345.063,1341.088,1331.432,1315.807,0.68,0.978
M0,FRM0,Corsica,High risk,10.433,17.563,17.07,11.855,13.14,14.012,0.184,1.105
M0,FRM0,Corsica,Low risk,7.537,14.99,7.068,15.356,17.819,12.554,0.165,1.196
M0,FRM0,Corsica,Other,56.84,46.219,50.317,43.891,50.223,49.498,0.651,0.936
Y1,FRY1,Guadeloupe,High risk,22.482,23.28,24.41,22.808,22.858,23.168,0.199,1.192
Y1,FRY1,Guadeloupe,Low risk,23.831,24.143,25.618,22.521,24.648,24.152,0.207,1.501
Y1,FRY1,Guadeloupe,Other,69.788,69.126,71.626,66.715,69.201,69.291,0.594,0.855
Y2,FRY2,Martinique,High risk,23.508,22.716,21.658,23.751,18.118,21.95,0.18,1.082
Y2,FRY2,Martinique,Low risk,22.231,21.117,22.657,21.573,22.766,22.069,0.181,1.314
Y2,FRY2,Martinique,Other,79.833,78.499,76.696,76.587,76.934,77.71,0.638,0.918
Y3,FRY3,French Guiana,High risk,8.383,10.183,9.582,9.265,9.665,9.416,0.157,0.941
Y3,FRY3,French Guiana,Low risk,12.631,11.534,8.977,10.885,12.045,11.214,0.187,1.354
Y3,FRY3,French Guiana,Other,37.879,37.209,37.905,39.389,44.57,39.39,0.656,0.944
Y4,FRY4,La Réunion,High risk,50.463,45.395,45.245,49.228,44.748,47.016,0.182,1.09
Y4,FRY4,La Réunion,Low risk,45.864,53.853,52.723,47.362,47.924,49.545,0.192,1.388
Y4,FRY4,La Réunion,Other,163.673,160.748,162.885,162.848,160.305,162.092,0.627,0.901
